Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,225.440002,229.350006,224.169998,226.660004,225.149963,385500
2022-01-26,228.050003,232.869995,224.169998,226.259995,224.752625,406100
2022-01-27,225.479996,225.589996,220.539993,221.119995,219.646866,400100
2022-01-28,222.559998,226.979996,221.000000,226.979996,225.467819,280200
2022-01-31,225.520004,232.119995,225.229996,230.960007,229.421326,818600
2022-02-01,233.990005,235.710007,231.179993,235.490005,233.921143,551400
2022-02-02,237.000000,239.059998,235.369995,238.410004,236.821686,551800
2022-02-03,232.649994,235.009995,229.279999,229.529999,228.000839,288700
2022-02-04,227.740005,231.539993,226.649994,230.130005,228.596848,268300
2022-02-07,225.949997,228.179993,224.059998,225.520004,224.017563,577700
2022-02-08,221.350006,228.039993,220.080002,227.089996,225.577087,578400
2022-02-09,231.899994,234.505005,231.059998,233.800003,232.242401,345400
2022-02-10,225.100006,229.419998,224.229996,224.500000,223.004349,443900
2022-02-11,222.500000,223.979996,216.190002,218.169998,216.716522,773100
2022-02-14,217.720001,219.889999,216.529999,218.210007,216.756256,433400
2022-02-15,224.779999,226.100006,223.550995,224.240005,222.746094,357900
2022-02-16,223.539993,224.770004,221.130005,224.070007,222.577225,241500
2022-02-17,225.570007,225.604996,220.970001,220.970001,219.497864,196500
2022-02-18,221.220001,222.130005,219.160004,220.380005,218.911804,256300
2022-02-22,217.000000,219.899994,214.039993,216.429993,214.988113,344200
2022-02-23,221.029999,221.449997,215.070007,215.300003,213.865646,301200
2022-02-24,204.880005,215.875000,204.300003,215.550003,214.113983,732800
2022-02-25,212.199997,215.460007,210.300003,213.419998,211.998169,460300
2022-02-28,212.039993,218.000000,211.679993,215.309998,213.875580,376300
2022-03-01,214.899994,215.369995,207.630005,208.479996,207.091080,357700
2022-03-02,208.979996,211.266006,208.029999,210.059998,208.660553,321300
2022-03-03,211.080002,211.380005,203.389999,203.740005,202.382660,341100
2022-03-04,200.710007,201.190002,196.679993,198.410004,197.088165,753800
2022-03-07,195.279999,195.899994,181.339996,183.250000,182.029160,941700
2022-03-08,186.699997,188.929993,178.869995,181.479996,180.270950,1001300
2022-03-09,195.910004,199.199997,193.514999,197.720001,196.402771,731900
2022-03-10,193.800003,194.520004,189.770004,192.960007,191.674484,658200
2022-03-11,195.259995,195.539993,189.750000,190.449997,189.181198,459500
2022-03-14,194.490005,197.001999,192.240005,192.929993,191.644669,423600
2022-03-15,193.449997,195.300003,192.509003,195.199997,193.899551,275800
2022-03-16,201.320007,209.059998,201.240005,208.899994,207.508270,631900
2022-03-17,204.880005,209.720001,204.600006,209.529999,208.134079,376200
2022-03-18,204.820007,210.520004,204.800003,209.610001,208.213547,359500
2022-03-21,210.000000,210.335999,205.580002,207.539993,206.157333,263500
2022-03-22,211.110001,214.949997,211.110001,212.389999,210.975037,621500
2022-03-23,210.009995,210.479996,207.470001,207.880005,206.495087,518900
2022-03-24,209.899994,213.789993,208.610001,213.119995,211.700165,322800
2022-03-25,214.160004,214.559998,210.729996,213.339996,211.918701,296700
2022-03-28,215.000000,217.029999,213.210007,214.440002,213.011368,385400
2022-03-29,224.240005,225.580002,219.080002,222.889999,221.405075,586500
2022-03-30,222.389999,224.399994,219.970001,221.190002,219.716400,362500
2022-03-31,222.320007,222.960007,217.919998,218.089996,216.637054,462800
2022-04-01,220.429993,221.820007,218.360001,221.080002,219.607132,264600
2022-04-04,229.619995,232.139999,228.240005,231.429993,229.888168,754700
2022-04-05,228.839996,230.279999,224.649994,225.779999,224.275818,620100
2022-04-06,221.240005,221.850006,218.000000,220.199997,218.733002,553800
2022-04-07,221.360001,222.300003,216.899994,221.399994,219.925003,458800
2022-04-08,217.919998,222.279999,217.740005,219.509995,218.047592,356400
2022-04-11,219.240005,223.300003,218.580002,220.759995,219.289261,595200
2022-04-12,225.710007,226.559998,220.380005,221.710007,220.232941,369300
2022-04-13,218.220001,223.960007,218.106003,223.470001,221.981216,235400
2022-04-14,223.740005,224.759995,219.335007,219.990005,218.524399,275300
2022-04-18,219.990005,222.610001,219.000000,220.500000,219.031006,190000
2022-04-19,217.820007,222.970001,217.479996,222.850006,222.850006,261500
2022-04-20,223.350006,224.160004,221.339996,221.639999,221.639999,208300
2022-04-21,223.320007,225.960007,216.839996,216.889999,216.889999,399500
2022-04-22,214.259995,215.399994,210.309998,210.460007,210.460007,400900
2022-04-25,209.029999,213.399994,208.630005,213.369995,213.369995,306100
2022-04-26,211.440002,211.679993,204.550003,205.789993,205.789993,528000
2022-04-27,205.789993,210.044998,205.729996,207.889999,207.889999,288800
2022-04-28,210.679993,215.419998,208.800003,214.039993,214.039993,256800
2022-04-29,213.130005,215.880005,209.580002,209.740005,209.740005,317800
2022-05-02,209.500000,211.080002,206.820007,210.559998,210.559998,280900
2022-05-03,214.139999,215.860001,212.610001,214.229996,214.229996,382900
2022-05-04,208.779999,212.449997,202.949997,211.750000,211.750000,1332300
2022-05-05,206.399994,206.399994,199.449997,202.059998,202.059998,565800
2022-05-06,199.089996,200.449997,194.699997,197.860001,197.860001,693700
2022-05-09,192.910004,194.110001,190.350006,190.559998,190.559998,597900
2022-05-10,194.449997,194.880005,187.725006,190.710007,190.710007,909600
2022-05-11,190.119995,195.130005,188.330002,188.500000,188.500000,519200
2022-05-12,185.500000,190.800003,183.972000,188.990005,188.990005,628900
2022-05-13,191.029999,196.220001,190.199997,193.910004,193.910004,494100
2022-05-16,192.509995,192.509995,186.970001,187.610001,187.610001,599700
2022-05-17,191.600006,193.360001,190.179993,192.369995,192.369995,808700
2022-05-18,188.380005,189.000000,181.669998,183.169998,183.169998,882300
2022-05-19,183.500000,190.020004,183.179993,188.440002,188.440002,666600
2022-05-20,192.050003,193.199997,184.630005,189.479996,189.479996,643700
2022-05-23,188.529999,190.839996,186.960999,189.660004,189.660004,405500
2022-05-24,190.330002,191.279999,188.610001,190.520004,190.520004,302600
2022-05-25,188.089996,192.634995,188.020004,191.039993,191.039993,269100
2022-05-26,192.119995,198.139999,192.119995,197.020004,197.020004,417200
2022-05-27,200.399994,201.869995,199.770004,201.860001,201.860001,437800
2022-05-31,195.779999,196.699997,193.223007,194.970001,194.970001,461300
2022-06-01,192.009995,192.899994,187.759995,189.169998,189.169998,558400
2022-06-02,190.899994,198.000000,190.776001,197.880005,197.880005,399400
2022-06-03,192.610001,193.949997,189.434998,189.710007,189.710007,535700
2022-06-06,192.600006,194.250000,191.460007,193.270004,193.270004,279600
2022-06-07,189.399994,191.410004,187.919998,191.160004,191.160004,337000
2022-06-08,191.559998,194.839996,190.759995,191.869995,191.869995,499500
2022-06-09,189.309998,194.429993,186.949997,187.449997,187.449997,614700
2022-06-10,182.789993,183.679993,180.669998,181.820007,181.820007,416800
2022-06-13,174.119995,175.440002,171.210007,171.509995,171.509995,659800
2022-06-14,171.429993,172.220001,167.449997,168.750000,168.750000,640900
2022-06-15,172.809998,178.570007,172.429993,176.869995,176.869995,682200
2022-06-16,176.899994,180.024994,172.720001,174.059998,174.059998,802300
2022-06-17,175.880005,177.350006,173.240997,176.029999,176.029999,788700
2022-06-21,183.500000,185.490005,182.910004,184.429993,184.429993,621200
2022-06-22,181.360001,185.539993,181.020004,183.750000,183.750000,608700
2022-06-23,183.839996,186.119995,182.820007,185.610001,185.610001,375800
2022-06-24,186.759995,192.059998,186.500000,191.940002,191.940002,367400
2022-06-27,188.919998,189.479996,186.350006,186.460007,186.460007,458500
2022-06-28,188.339996,189.960007,184.990005,185.070007,185.070007,342100
2022-06-29,182.919998,185.445007,182.039993,184.800003,184.800003,456700
2022-06-30,181.339996,185.410004,179.270004,183.479996,183.479996,449900
2022-07-01,183.119995,187.970001,182.820007,187.940002,187.940002,338300
2022-07-05,185.460007,190.119995,184.860001,189.979996,189.979996,300700
2022-07-06,188.809998,190.490005,186.240005,189.809998,189.809998,267200
2022-07-07,190.839996,192.750000,190.740005,192.570007,192.570007,235200
2022-07-08,191.460007,194.979996,191.460007,193.630005,193.630005,240700
2022-07-11,192.770004,193.839996,190.470001,190.679993,190.679993,427400
2022-07-12,191.639999,192.449997,188.679993,188.860001,188.860001,446600
2022-07-13,187.039993,192.000000,186.580002,191.119995,191.119995,263800
2022-07-14,188.970001,190.309998,185.317993,188.750000,188.750000,466100
2022-07-15,191.389999,195.550003,190.720001,193.470001,193.470001,469500
2022-07-18,198.979996,199.619995,195.020004,195.080002,195.080002,547700
2022-07-19,200.220001,201.600006,198.809998,198.979996,198.979996,537600
2022-07-20,195.850006,198.095001,194.350006,195.589996,195.589996,421300
2022-07-21,198.179993,202.199997,198.179993,202.039993,202.039993,361200
2022-07-22,202.619995,204.419998,200.039993,200.429993,200.429993,207800
2022-07-25,203.300003,203.610001,201.000000,201.610001,201.610001,265000
2022-07-26,197.860001,198.160004,194.860001,195.649994,195.649994,261400
2022-07-27,198.250000,201.190002,197.050003,200.729996,200.729996,368500
2022-07-28,205.020004,208.718002,203.699997,207.490005,207.490005,420300
2022-07-29,209.399994,211.250000,208.440002,211.229996,211.229996,337600
2022-08-01,213.889999,214.539993,211.729996,213.210007,213.210007,380100
2022-08-02,211.380005,214.440002,210.548004,211.039993,211.039993,422200
2022-08-03,211.839996,216.024994,211.009995,215.699997,215.699997,349100
2022-08-04,215.779999,217.470001,214.199997,216.000000,216.000000,276400
2022-08-05,212.149994,213.839996,210.699997,211.940002,211.940002,310600
2022-08-08,213.300003,215.403000,212.925003,213.559998,213.559998,212800
2022-08-09,212.789993,212.830002,210.000000,210.470001,210.470001,246100
2022-08-10,215.850006,216.839996,214.059998,215.000000,215.000000,181300
